MatchId,SummonerId,SummonerLevel,QueuesRanks,ChampionName,Mastery,LastTimeChampionPlayed,Summoner1,Summoner2,Role,Team
EUW1_6386995253,6obFv-zdQtzVgAAdRh1a3ikkN5xiavvWqE0aDc0MoVGm0wU,413,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'I'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'IV'}]",Illaoi,156166,1684691296000,4,12,TOP,Red
EUW1_6386995253,lXax_-KO-hY3M5lZV4plnMnqyJMqiiERz44YK1s0qtZXahYn0ytlP356-Q,82,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'II'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}]",JarvanIV,3873,1684170921000,11,4,JUNGLE,Red
EUW1_6386995253,B_-FkMPHqEK2xFakTK5OqT16V6xx7iL3-RJBXXJE-rT4N1E,446,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'I'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'IV'}]",Vladimir,30757,1683567769000,6,4,MIDDLE,Red
EUW1_6386995253,5E1pBQcndhhm8Gtbz2OPN1Z_rUvbCep0FRkdh-rDoL2Y7QU,294,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'II'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'PLATINUM', 'rank': 'IV'}]",Ashe,29425,1685379698000,4,7,BOTTOM,Red
EUW1_6386995253,rqo6ESUkXxXym2xEPD9NeIeHj6jaO8xo6rR-A1xtfY1unlc,365,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'IV'}]",Pantheon,45037,1683134780000,4,14,UTILITY,Red
EUW1_6386995253,Zk6koFL_E3En9PJdgWJpnn3dUsNK_BND8xs3RnhAGH5JqbY,434,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'I'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'I'}]",Nocturne,20019,1683922586000,12,4,TOP,Blue
EUW1_6386995253,Oa9mbH9je07eJ-1MUFEbrf4_wuUGX44dafklZIU6RhcR6zs,271,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'II'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'I'}]",Shaco,757997,1685752071000,11,14,JUNGLE,Blue
EUW1_6386995253,CyL1MjY834I09IdMtpAwb7-zsDA_46vZD_l5xcJPR8_a74I,269,[],Viktor,27997,1683405283000,12,4,MIDDLE,Blue
EUW1_6386995253,LPN8RmuGRsW-OuLcsmpgs0mGKK0a_JiNY4zqsLtI1fEBtgFS1zKuanC_RQ,320,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'III'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'PLATINUM', 'rank': 'II'}]",Ezreal,323820,1685414143000,4,7,BOTTOM,Blue
EUW1_6386995253,Q_mm2vTfvYGbHdrxAAE9RhbMKVI52knTyX6vAOPuaPR8m6M,359,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'III'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'III'}]",Thresh,605275,1685303849000,14,4,UTILITY,Blue
